,Original Url,Meta Description 1
17,https://www.adforum.com/creative-work/ad/player/11950/no-title-provided/breakaway,print no title provided for breakaway by tdaboulder
18,https://www.adforum.com/creative-work/ad/player/1206/isprinsessan/cloetta-sportlunch,television isprinsessan for cloetta sportlunch by nord ddb osl
19,https://www.adforum.com/creative-work/ad/player/12114/boxing/hbo,television boxing for hbo
20,https://www.adforum.com/creative-work/ad/player/12149/little-plane-1/air-france,"outdoorout of home little plane 1 for air france by betc paris  creative strategy
announce the company’s new positioning in two complementary campaigns"
21,https://www.adforum.com/creative-work/ad/player/12152/little-plane-2/air-france,"outdoorout of home little plane 2 for air france by betc paris  creative strategy
announce the company’s new positioning in two complementary campaigns"
22,https://www.adforum.com/creative-work/ad/player/12153/little-plane-3/air-france,"outdoorout of home little plane 3 for air france by betc paris  creative strategy
announce the company’s new positioning in two complementary campaigns"
23,https://www.adforum.com/creative-work/ad/player/12213/the-cicadas/adidas,television the cicadas for adidas by leagas delaney paris centre
24,https://www.adforum.com/creative-work/ad/player/12218/victory/adidas,television victory for adidas by leagas delaney paris centre
25,https://www.adforum.com/creative-work/ad/player/12258/mountain-climbing-x-treme-sports-snow-surfer/nike,print mountain climbing xtreme sports snow surfer for nike by dentsu singapore
26,https://www.adforum.com/creative-work/ad/player/12305/the-new-audi-tt-roadster/audi,digital the new audi tt roadster for audi by doubleyou  the objective of the minisite is to present the new sports car of the german brand this website w
27,https://www.adforum.com/creative-work/ad/player/12489/halloween-promo/kids-foot-locker,direct marketing halloween promo for kids foot locker by guarino woodman inc  3 dimensional direct mail piece with a miniature hockey mask and brochure
28,https://www.adforum.com/creative-work/ad/player/1260/radical-sports/sca-hygiene-products,television radical sports for sca hygiene products by forsman  bodenfors
29,https://www.adforum.com/creative-work/ad/player/1265/sport/d,television sport for d  by di pace concato  partners
30,https://www.adforum.com/creative-work/ad/player/12651784/sports/volkswagen,magazine sports for volkswagen by ddb berlin
31,https://www.adforum.com/creative-work/ad/player/12651796/ball/storm,print ball for storm by havas worldwide buenos aires
32,https://www.adforum.com/creative-work/ad/player/12652031/first-date/chicago-white-sox,television first date for chicago white sox by hoffman york inc
33,https://www.adforum.com/creative-work/ad/player/12652043/sports-fan/amf-pension,television sports fan for amf pension by forsman  bodenfors  the future  a pretty good reason for a pension plan
34,https://www.adforum.com/creative-work/ad/player/12652079/football/canal,print football for canal  by betc paris
35,https://www.adforum.com/creative-work/ad/player/12652082/little-plane-3-french/air-france,"print little plane 3 french for air france by betc paris  creative strategy
announce the company’s new positioning in two complementary campaigns a “"
36,https://www.adforum.com/creative-work/ad/player/12652111/practice/soweto-rugby-club,television practice for soweto rugby club by ireland  davenport  supporters wanted
37,https://www.adforum.com/creative-work/ad/player/12652159/anthem-fast-forward/nike-asia,television anthem fast forward for nike asia by wieden  kennedy
38,https://www.adforum.com/creative-work/ad/player/12652352/beijing-2008/human-rights-protection,television beijing 2008 for human rights protection by muw  saatchi  saatchi  our campaign china is getting ready beijing 2008 for amnesty internatio
39,https://www.adforum.com/creative-work/ad/player/12652369/1951-vs-2008/coke,television 1951 vs 2008 for coke by wieden  kennedy  the coke side of life
40,https://www.adforum.com/creative-work/ad/player/12652390/fashion-faux-pas/espn,television fashion faux pas for espn by wieden  kennedy  this is sportscenter
41,https://www.adforum.com/creative-work/ad/player/12652513/jackie-robinson/sports-museum-of-america,outdoorout of home jackie robinson for sports museum of america by the gate worldwide
42,https://www.adforum.com/creative-work/ad/player/12652514/fans/sports-museum-of-america,outdoorout of home fans for sports museum of america by the gate worldwide
43,https://www.adforum.com/creative-work/ad/player/12652573/higher-french/cnosf,television  cinema higher french for cnosf by saatchi  saatchi duke  support the french olympic team
44,https://www.adforum.com/creative-work/ad/player/12652575/higher/cnosf,television  cinema higher for cnosf by saatchi  saatchi duke  support the french olympic team
45,https://www.adforum.com/creative-work/ad/player/12652576/josh-tyler/nashua-mobile,television josh tyler for nashua mobile by ireland  davenport  fight internet lessness
46,https://www.adforum.com/creative-work/ad/player/12652654/league-of-clutch-30-sec/gatorade,television league of clutch 30 sec for gatorade by element 79  is it in you
47,https://www.adforum.com/creative-work/ad/player/12652658/basket/canal,print basket for canal  by betc paris
48,https://www.adforum.com/creative-work/ad/player/12652659/boxe/canal,print boxe for canal  by betc paris
49,https://www.adforum.com/creative-work/ad/player/12652661/football/canal,print football for canal  by betc paris
50,https://www.adforum.com/creative-work/ad/player/12652662/golf/canal,print golf for canal  by betc paris
51,https://www.adforum.com/creative-work/ad/player/12652663/rugby/canal,print rugby for canal  by betc paris
52,https://www.adforum.com/creative-work/ad/player/12652832/the-rematch/dodge,television the rematch for dodge by bbdo detroit  grab life
53,https://www.adforum.com/creative-work/ad/player/12652834/believe/nba,television believe for nba by goodby silverstein  partners  where amazing happens
54,https://www.adforum.com/creative-work/ad/player/12652835/dream/nba,television dream for nba by goodby silverstein  partners  where amazing happens
55,https://www.adforum.com/creative-work/ad/player/12652836/fear/nba,television fear for nba by goodby silverstein  partners  where amazing happens
56,https://www.adforum.com/creative-work/ad/player/12652837/remembered/nba,television remembered for nba by goodby silverstein  partners  where amazing happens
57,https://www.adforum.com/creative-work/ad/player/12652838/work/nba,television work for nba by goodby silverstein  partners  where amazing happens
58,https://www.adforum.com/creative-work/ad/player/12652840/dirk-duncan/nba,print dirkduncan for nba by goodby silverstein  partners  where amazing happens
59,https://www.adforum.com/creative-work/ad/player/12652842/kobe-shaq/nba,print kobeshaq for nba by goodby silverstein  partners  where amazing happens
60,https://www.adforum.com/creative-work/ad/player/12652843/lebron-garnett/nba,print lebrongarnett for nba by goodby silverstein  partners  where amazing happens
61,https://www.adforum.com/creative-work/ad/player/12652844/mcgrady-hamilton/nba,print mcgradyhamilton for nba by goodby silverstein  partners  where amazing happens
62,https://www.adforum.com/creative-work/ad/player/12652849/faces/dell,television faces for dell by mother  yours is here
63,https://www.adforum.com/creative-work/ad/player/12652945/catch/hackensack-university-medical-center,television catch for hackensack university medical center by della femina rothschild jeary  partners  when you feel good we feel good
64,https://www.adforum.com/creative-work/ad/player/12652985/cock-ball-tv/canalsat,television cock  ball tv for canalsat by betc paris
65,https://www.adforum.com/creative-work/ad/player/12653007/traffic/nike-cricket,television traffic for nike cricket by  wunderman thompson south asia
66,https://www.adforum.com/creative-work/ad/player/12653088/ping-pong/axe,television ping pong for axe by zig inc  get laid back
67,https://www.adforum.com/creative-work/ad/player/12653089/lotion/axe,television lotion for axe by zig inc  get laid back
68,https://www.adforum.com/creative-work/ad/player/12653116/another-court/glaceau-vitamin-water,television another court for glaceau vitamin water by berlin cameron   try it
69,https://www.adforum.com/creative-work/ad/player/12653181/catch/hackensack-university-medical-center,print catch for hackensack university medical center by della femina rothschild jeary  partners  when you feel good we feel good
70,https://www.adforum.com/creative-work/ad/player/12653231/afternoon-snack/kelloggs,television afternoon snack for kelloggs by leo burnett chicago  frostedflakescom
71,https://www.adforum.com/creative-work/ad/player/12653258/beetle/toshiba,television beetle for toshiba by yr israel
72,https://www.adforum.com/creative-work/ad/player/12653298/the-jones/oakland-as,television  cinema the jones for oakland as by eleven inc  100 baseball
73,https://www.adforum.com/creative-work/ad/player/12653411/brain/neurovision,magazine brain for neurovision by hakuhodo france  treat your brain to better vision
74,https://www.adforum.com/creative-work/ad/player/12653419/piniella-30-sec/aquafina,television piniella 30 sec for aquafina by bbdo new york
75,https://www.adforum.com/creative-work/ad/player/12653425/meteorite/att,television meteorite for att by bbdo new york  attcomadvancedtv
76,https://www.adforum.com/creative-work/ad/player/12653461/howard-vs-howard/midway,television howard vs howard for midway by ayzenberg group
77,https://www.adforum.com/creative-work/ad/player/12653499/join/bnp-paribas,television join for bnp paribas by publicis conseil  le film met en scène un terrain de   tennis sur lequel se déroule un match professionnel devant des t
78,https://www.adforum.com/creative-work/ad/player/12653609/tiger-art-rivera/buick,television tiger art rivera for buick by leo burnett chicago  drive beautifully
79,https://www.adforum.com/creative-work/ad/player/12653683/playstation/signia,television  cinema playstation for signia by mccann buenos aires
80,https://www.adforum.com/creative-work/ad/player/12653858/don-king/crocs,television don king for crocs by zimmerman advertising  what a croc
81,https://www.adforum.com/creative-work/ad/player/12653863/journey-30-sec/canon,television journey 30 sec for canon by grey new york  imageanyware
82,https://www.adforum.com/creative-work/ad/player/12653897/hbo-black-history-month/hbo,case study hbo black history month for hbo by earthquake media  the goal was to drive programming awareness for hbo during black history month while acqui
83,https://www.adforum.com/creative-work/ad/player/12653900/partypoker-net-custom-tv-vignette/partypoker-net,case study partypokernet custom tv vignette for partypokernet by earthquake media  create customized poker content that successfully exposes the partypo
84,https://www.adforum.com/creative-work/ad/player/12653932/g10-iron/ping-golf,television  cinema g10 iron for ping golf by the martin agency  play your best
85,https://www.adforum.com/creative-work/ad/player/12653936/iseries-putter/ping-golf,television  cinema iseries putter for ping golf by the martin agency
86,https://www.adforum.com/creative-work/ad/player/12653964/gas/neo-sports,television  cinema gas for neo sports by ogilvy india  get used to tension india vs pakistan
87,https://www.adforum.com/creative-work/ad/player/12654007/fcb-showtime-logo/fcb-showtime,"logotype fcb showtime logo for fcb showtime by herraiz soto co  
hp created a new photograph printing service hp memorabilia service this application"
88,https://www.adforum.com/creative-work/ad/player/12654015/gamper-day-images/fcb-showtime,"events gamper day images for fcb showtime by herraiz soto co  
hp created a new photograph printing service hp memorabilia service this application e"
89,https://www.adforum.com/creative-work/ad/player/12654016/promotional-poster/fcb-showtime,"poster promotional poster for fcb showtime by herraiz soto co  
hp created a new photograph printing service hp memorabilia service this application"
90,https://www.adforum.com/creative-work/ad/player/12654017/cut-out-figure/fcb-showtime,"other collateral cutout figure for fcb showtime by herraiz soto co  
hp created a new photograph printing service hp memorabilia service this applic"
91,https://www.adforum.com/creative-work/ad/player/12654019/showtime-product-advertisment/fcb-showtime,"print showtime product advertisment for fcb showtime by herraiz soto co  
hp created a new photograph printing service hp memorabilia service this ap"
92,https://www.adforum.com/creative-work/ad/player/12654020/showtime-screensave/fcb-showtime,"digital showtime screensave for fcb showtime by herraiz soto co  
hp created a new photograph printing service hp memorabilia service this applicatio"
93,https://www.adforum.com/creative-work/ad/player/12654021/sample-of-showtime-products/fcb-showtime,"other collateral sample of showtime products for fcb showtime by herraiz soto co  
hp created a new photograph printing service hp memorabilia service"
94,https://www.adforum.com/creative-work/ad/player/12654022/sticker/fcb-showtime,"other collateral sticker for fcb showtime by herraiz soto co  
hp created a new photograph printing service hp memorabilia service this application e"
95,https://www.adforum.com/creative-work/ad/player/12654023/web-platform-images/fcb-showtime,"other collateral web platform images for fcb showtime by herraiz soto co  
hp created a new photograph printing service hp memorabilia service this a"
96,https://www.adforum.com/creative-work/ad/player/12654025/online-banners/fcb-showtime,"web advertisingbanners online banners for fcb showtime by herraiz soto co  
hp created a new photograph printing service hp memorabilia service this"
97,https://www.adforum.com/creative-work/ad/player/12654027/exes-and-os/fcb-showtime,"print exes and os for fcb showtime by herraiz soto co  
hp created a new photograph printing service hp memorabilia service this application enables"
98,https://www.adforum.com/creative-work/ad/player/12654118/mary-woodbridge/mammut,case study mary woodbridge for mammut by leo burnett schweiz
99,https://www.adforum.com/creative-work/ad/player/12654180/history/audi,television history for audi by thjnk  summary the r8 was audis first entry into the highend sports car market in a market dominated by the porsche 911
100,https://www.adforum.com/creative-work/ad/player/12654181/the-audi-r8-pre-launch-1/audi,print the audi r8 pre launch 1 for audi by thjnk  summary the r8 was audis first entry into the highend sports car market in a market dominated by the
101,https://www.adforum.com/creative-work/ad/player/12654199/iro-cycle-website/iro-cycle,web site iro cycle website for iro cycle by woods witt dealy and sons inc  iro cycle is a manufacturer of high quality yet affordable fixed gear bikest
102,https://www.adforum.com/creative-work/ad/player/12654274/los-5-magnificos/nike-football,web advertisingbanners los 5 magnificos for nike football by villarrosàs  take it to the next level
103,https://www.adforum.com/creative-work/ad/player/12654314/rivalries/nba,television rivalries for nba by goodby silverstein  partners  where amazing happens
104,https://www.adforum.com/creative-work/ad/player/12654317/palermo-180/puma-borussia,case study palermo 180 for puma borussia by ddb argentina
105,https://www.adforum.com/creative-work/ad/player/12654318/never/nike-golf,television never for nike golf by wieden  kennedy  earl woods advice goes beyond how to simply raise a child who performs well in sports his wisdom is
106,https://www.adforum.com/creative-work/ad/player/12654327/come-together/visa,television come together for visa by tbwachiatday los angeles  go world
107,https://www.adforum.com/creative-work/ad/player/12654345/eyeballs/espn,case study eyeballs for espn by saatchi  saatchi
108,https://www.adforum.com/creative-work/ad/player/12654405/victory/mcdonalds,television  cinema victory for mcdonalds by ddb chicago  im lovin it
109,https://www.adforum.com/creative-work/ad/player/12654427/hatch-an-egg/playground,case study hatch an egg for playground by åkestam holst
110,https://www.adforum.com/creative-work/ad/player/12654920/run-easy/reebok,case study run easy for reebok by carat fusion
111,https://www.adforum.com/creative-work/ad/player/12655222/ken-griffey-jr/nike,print ken griffey jr for nike by wieden  kennedy
112,https://www.adforum.com/creative-work/ad/player/12655224/more-hips/espn,television more hips for espn by wieden  kennedy  this is sportscenter
113,https://www.adforum.com/creative-work/ad/player/12655225/nicknames/espn,television nicknames for espn by wieden  kennedy  this is sportscenter
114,https://www.adforum.com/creative-work/ad/player/12655228/urinal/sam-houston-race-park,television urinal for sam houston race park by peter mayer  lets make thngs interesting
115,https://www.adforum.com/creative-work/ad/player/12655262/mma-fighter/geico-power-sports,television mma fighter for geico power sports by the martin agency
116,https://www.adforum.com/creative-work/ad/player/12655272/lebron-garnett/nba,television lebrongarnett for nba by goodby silverstein  partners  where amazing happens
117,https://www.adforum.com/creative-work/ad/player/12655273/power-parachutes-and-performance/nike,television power parachutes and performance for nike by wieden  kennedy  just do it
118,https://www.adforum.com/creative-work/ad/player/12655276/macys-billboard/emporio-armani,billboard macys billboard for emporio armani
119,https://www.adforum.com/creative-work/ad/player/12655277/shrimp-cocktail/sam-houston-race-park,television shrimp cocktail for sam houston race park by peter mayer  lets make thngs interesting
120,https://www.adforum.com/creative-work/ad/player/12655278/all-star-break/gmc,television allstar break for gmc by leo burnett chicago  we are professional grade
121,https://www.adforum.com/creative-work/ad/player/12655293//sport-club-internacional,print  for sport club internacional by e21
122,https://www.adforum.com/creative-work/ad/player/12655320/gorilla-boom/mountain-dew,television gorilla  boom for mountain dew by bbdo new york  amp yourself
123,https://www.adforum.com/creative-work/ad/player/12655331/starts-30-sec/u-s-soccer,television starts 30 sec for us soccer by element 79
124,https://www.adforum.com/creative-work/ad/player/12655419/rafters/fox-sports,television rafters for fox sports
125,https://www.adforum.com/creative-work/ad/player/12655431/valet/hanes,television valet for hanes by the martin agency  look who weve got our hanes on now
126,https://www.adforum.com/creative-work/ad/player/12655462/stripes/kelloggs,television stripes for kelloggs by leo burnett chicago  earn your stripes
127,https://www.adforum.com/creative-work/ad/player/12655492/track-town-usa/nike,television track town usa for nike by wieden  kennedy  niketracktowncom
128,https://www.adforum.com/creative-work/ad/player/12655574/fire-in-your-eyes/gmc,television fire in your eyes for gmc by leo burnett chicago  we are professional grade
129,https://www.adforum.com/creative-work/ad/player/12655578/skytroop/carlton-draught,television  cinema skytroop for carlton draught by clemenger bbdo melbourne  miles above a sports stadium a massive cargo plane jettisons a 50foothigh
130,https://www.adforum.com/creative-work/ad/player/12655619/next-season/nike-football,television next season for nike football by 72andsunny  take it to the next level
131,https://www.adforum.com/creative-work/ad/player/12655768/soccer-morph/blackberry,television soccer morph for blackberry
132,https://www.adforum.com/creative-work/ad/player/12655782/michael-phelps/visa,television michael phelps for visa by tbwachiatday los angeles  go world
133,https://www.adforum.com/creative-work/ad/player/12655975/the-antishoe/mbt,print the antishoe for mbt by kastner  partners  the antishoe
134,https://www.adforum.com/creative-work/ad/player/12656021/revolution/nike,television revolution for nike by wieden  kennedy  join the run revolution
135,https://www.adforum.com/creative-work/ad/player/12656027/the-stadium-is-ready/espn,television the stadium is ready for espn by dcode
136,https://www.adforum.com/creative-work/ad/player/12656034/hse-web-site/hawkeye-sports-entertainment,web site hse web site for hawkeye sports  entertainment by hawkeye
137,https://www.adforum.com/creative-work/ad/player/12656042/chute/red-bull-energy-drink,television chute for red bull energy drink by kastner  partners
138,https://www.adforum.com/creative-work/ad/player/12656044/ping-pong/international-childrens-games,print ping pong for international childrens games by grey worldwide san francisco
139,https://www.adforum.com/creative-work/ad/player/12656083/opium/mbt,print opium for mbt by kastner  partners  the antishoe
140,https://www.adforum.com/creative-work/ad/player/12656084/weapons/mbt,print weapons for mbt by kastner  partners  the antishoe
141,https://www.adforum.com/creative-work/ad/player/12656085/we-shall-fight/mbt,print we shall fight for mbt by kastner  partners  the antishoe
142,https://www.adforum.com/creative-work/ad/player/12656121/starts-15-sec/u-s-soccer,television starts 15 sec for us soccer by element 79
143,https://www.adforum.com/creative-work/ad/player/12656133/unity/coke,television unity for coke by wieden  kennedy  live olympic on the coke side of life
144,https://www.adforum.com/creative-work/ad/player/12656151/peyton/gatorade,print peyton for gatorade by element 79  is it in you
145,https://www.adforum.com/creative-work/ad/player/12656154/league-of-clutch/gatorade,print league of clutch for gatorade by element 79  is it in you
146,https://www.adforum.com/creative-work/ad/player/12656168/christian/ea-sports,television christian for ea sports by wieden  kennedy  its in the game
147,https://www.adforum.com/creative-work/ad/player/12656169/heath-lance/ea-sports,television heath  lance for ea sports by wieden  kennedy  its in the game
148,https://www.adforum.com/creative-work/ad/player/12656187/the-audi-r8-pre-launch-2/audi,print the audi r8 pre launch 2 for audi by thjnk  summary the r8 was audis first entry into the highend sports car market in a market dominated by the
149,https://www.adforum.com/creative-work/ad/player/12656188/the-audi-r8-pre-launch-3/audi,print the audi r8 pre launch 3 for audi by thjnk  summary the r8 was audis first entry into the highend sports car market in a market dominated by the
150,https://www.adforum.com/creative-work/ad/player/12656189/the-audi-r8-pre-launch-4/audi,print the audi r8 pre launch 4 for audi by thjnk  summary the r8 was audis first entry into the highend sports car market in a market dominated by the
151,https://www.adforum.com/creative-work/ad/player/12656190/the-audi-r8-pre-launch-5/audi,print the audi r8 pre launch 5 for audi by thjnk  summary the r8 was audis first entry into the highend sports car market in a market dominated by the
152,https://www.adforum.com/creative-work/ad/player/12656191/the-audi-r8-pre-launch-6/audi,print the audi r8 pre launch 6 for audi by thjnk  summary the r8 was audis first entry into the highend sports car market in a market dominated by the
153,https://www.adforum.com/creative-work/ad/player/12656192/the-audi-r8-pre-launch-website/audi,web site the audi r8 pre launch website for audi by thjnk  summary the r8 was audis first entry into the highend sports car market in a market dominat
154,https://www.adforum.com/creative-work/ad/player/12656633/n-a/sports-authority,print na for sports authority by cole  weber
155,https://www.adforum.com/creative-work/ad/player/12656634/n-a/sports-authority,print na for sports authority by cole  weber
156,https://www.adforum.com/creative-work/ad/player/12656642/n-a/giro,print na for giro by crispin porter  bogusky
157,https://www.adforum.com/creative-work/ad/player/12656644/n-a/usta,print na for usta by hill holliday
158,https://www.adforum.com/creative-work/ad/player/12656685/n-a/espn,print na for espn by wieden  kennedy
159,https://www.adforum.com/creative-work/ad/player/12656710/n-a/sports-illustrated,print na for sports illustrated
160,https://www.adforum.com/creative-work/ad/player/12656727/n-a/kajeet,print na for kajeet
161,https://www.adforum.com/creative-work/ad/player/12656868/jeff-burton/holiday-inn-express,television jeff burton for holiday inn express by fallon  the more you stay the more you earn
162,https://www.adforum.com/creative-work/ad/player/12656975/stunts/subaru,television stunts for subaru by carmichael lynch  fraternityofsticom
163,https://www.adforum.com/creative-work/ad/player/12656984/slumps/espn,television slumps for espn by wieden  kennedy  this is sportscenter
164,https://www.adforum.com/creative-work/ad/player/12657007/chairs/gillette,television chairs for gillette by bbdo new york  the best a man can get
165,https://www.adforum.com/creative-work/ad/player/12657016/bottled-courage-60-sec/nike,television bottled courage 60 sec for nike by wieden  kennedy  just do it
166,https://www.adforum.com/creative-work/ad/player/12657018/bottled-courage-30-sec/nike,television bottled courage 30 sec for nike by wieden  kennedy  just do it
167,https://www.adforum.com/creative-work/ad/player/12657138/derrick-redmond/visa,television derrick redmond for visa by tbwachiatday los angeles  go world
168,https://www.adforum.com/creative-work/ad/player/12657139/home-of-innovation/nike,web site home of innovation for nike by akqa
169,https://www.adforum.com/creative-work/ad/player/12657141/migration/reebok,television migration for reebok by mcgarrybowen  yourmove
170,https://www.adforum.com/creative-work/ad/player/12657223/technical-difficulties/espn,television technical difficulties for espn by wieden  kennedy  swimmer michael phelps is having computer problems
171,https://www.adforum.com/creative-work/ad/player/12657242/kerri-strug/visa,television kerri strug for visa by tbwachiatday los angeles  go world
172,https://www.adforum.com/creative-work/ad/player/12657307/football-08/under-armour,television football 08 for under armour
173,https://www.adforum.com/creative-work/ad/player/12657310/soccer/baskin-robbins,television soccer for baskin robbins by cliff freeman  partners  yay
174,https://www.adforum.com/creative-work/ad/player/12657417/anthem/ea-sports,television anthem for ea sports by wieden  kennedy
175,https://www.adforum.com/creative-work/ad/player/12657429/be-spectacular/clorox,television be spectacular for clorox by ddb san francisco
176,https://www.adforum.com/creative-work/ad/player/12657448/drink-it-slow/dr-pepper,television drink it slow for dr pepper by deutsch
177,https://www.adforum.com/creative-work/ad/player/12657542/nutrition/for-goodness-shakes,television nutrition for for goodness shakes by arm direct group ltd  bring on tomorrow
178,https://www.adforum.com/creative-work/ad/player/12657602/analyst/gatorade,television analyst for gatorade by bbdo argentina  nothing works better
179,https://www.adforum.com/creative-work/ad/player/12657603/doctor/gatorade,television doctor for gatorade by bbdo argentina  nothing works better
180,https://www.adforum.com/creative-work/ad/player/12657604/music-teacher/gatorade,television music teacher for gatorade by bbdo argentina  nothing works better
181,https://www.adforum.com/creative-work/ad/player/12657607/running/sky-sport,television running for sky sport by grey united
182,https://www.adforum.com/creative-work/ad/player/12657654/no-sweat/adidas,television no sweat for adidas  best defense against sweat
183,https://www.adforum.com/creative-work/ad/player/12657700/your-friends-my-friends/mcdonalds,television  cinema your friends my friends for mcdonalds by leo burnett chicago  im lovin it
184,https://www.adforum.com/creative-work/ad/player/12657701/work-with-your-body/tylenol,television  cinema work with your body for tylenol by deutsch  feel better
185,https://www.adforum.com/creative-work/ad/player/12657708/shuang-city/coca-cola,television shuang city for cocacola by red lounge
186,https://www.adforum.com/creative-work/ad/player/12657718/its-time-olympic-anthem/the-home-depot,television its time  olympic anthem for the home depot by the richards group  homedepotcomteamusa
187,https://www.adforum.com/creative-work/ad/player/12657720/immortal/visa,television immortal for visa by tbwachiatday los angeles  go world
188,https://www.adforum.com/creative-work/ad/player/12657724/in-this-world-together/target,television in this world together for target by peterson milla hooks  expect more pay less
189,https://www.adforum.com/creative-work/ad/player/12657731/in-bound/san-francisco-49ers,television inbound for san francisco 49ers by buderengel and friends  put your game face on
190,https://www.adforum.com/creative-work/ad/player/12657739/anthem/visa,television anthem for visa by tbwachiatday los angeles  go world
191,https://www.adforum.com/creative-work/ad/player/12657742/philips-idowu/powerade,print philips idowu for powerade by mother london  sports drink of team gb
192,https://www.adforum.com/creative-work/ad/player/12657743/rebecca-romero/powerade,print rebecca romero for powerade by mother london  sports drink of team gb
193,https://www.adforum.com/creative-work/ad/player/12657744/gregor-tait/powerade,print gregor tait for powerade by mother london  sports drink of team gb
194,https://www.adforum.com/creative-work/ad/player/12657747/congratulations-phelps/visa,television congratulations phelps for visa by tbwachiatday los angeles  go world
195,https://www.adforum.com/creative-work/ad/player/12657783/a-new-team/nike,television a new team for nike by wieden  kennedy  nikecom
196,https://www.adforum.com/creative-work/ad/player/12657802/countdown/adidas,television countdown for adidas by tbwagreater china
197,https://www.adforum.com/creative-work/ad/player/12657803/asterisk-60-sec/united-states-olympic-committee,television asterisk 60 sec for united states olympic committee by tbwachiatday new york  dontbeanasteriskcom
198,https://www.adforum.com/creative-work/ad/player/12657804/asterisk-30-sec/united-states-olympic-committee,television asterisk 30 sec for united states olympic committee by tbwachiatday new york  dontbeanasteriskcom
199,https://www.adforum.com/creative-work/ad/player/12657805/shalane-30-sec/johnson-johnson,television shalane 30 sec for johnson  johnson by mullenlowe new york  thanks mom
200,https://www.adforum.com/creative-work/ad/player/12657806/sarah/johnson-johnson,television sarah for johnson  johnson by mullenlowe new york  thanks mom
201,https://www.adforum.com/creative-work/ad/player/12657807/richard/johnson-johnson,television richard for johnson  johnson by mullenlowe new york  thanks mom
202,https://www.adforum.com/creative-work/ad/player/12657808/jarrod/johnson-johnson,television jarrod for johnson  johnson by mullenlowe new york  thanks mom
203,https://www.adforum.com/creative-work/ad/player/12657809/cullen/johnson-johnson,television cullen for johnson  johnson by mullenlowe new york  thanks mom
204,https://www.adforum.com/creative-work/ad/player/12657810/8-medals-phelps/visa,television 8 medals  phelps for visa by tbwachiatday los angeles  go world
205,https://www.adforum.com/creative-work/ad/player/12657821/pool/espn,print pool for espn by neogama  the sport you´re looking for and much more
206,https://www.adforum.com/creative-work/ad/player/12657822/golf/espn,print golf for espn by neogama  the sport you´re looking for and much more
207,https://www.adforum.com/creative-work/ad/player/12657823/rugby/espn,print rugby for espn by neogama  the sport you´re looking for and much more
208,https://www.adforum.com/creative-work/ad/player/12657824/soccer/espn,print soccer for espn by neogama  the sport you´re looking for and much more
209,https://www.adforum.com/creative-work/ad/player/12657825/tennis/espn,print tennis for espn by neogama  the sport you´re looking for and much more
210,https://www.adforum.com/creative-work/ad/player/12657863/nastia/visa,television nastia for visa by tbwachiatday los angeles  go world
211,https://www.adforum.com/creative-work/ad/player/12657867/manny-being-manny/espn,television manny being manny for espn by wieden  kennedy  manny does nothing in the break room steve levy and jay harris love it
212,https://www.adforum.com/creative-work/ad/player/12657868/jumping/bradesco,print jumping for bradesco by neogama  brazils biggest private bank
